Nome do Município;Valor ICMS;Valor IPI;Valor IPVA;Valor Total
RIO MANSO;873789.21;10594.57;501654.46;1386038.24
RIO NOVO;980226.51;11938.34;612485.68;1604650.53
RIO PARANAIBA;7191502.03;87648.86;1788322.22;9067473.11
RIO PARDO DE MINAS;2043965.7;24929.57;911696.51;2980591.78
RIO PIRACICABA;3525290.8;42855.99;1124049.68;4692196.47
RIO POMBA;2155460.06;26288.26;1848150.5;4029898.82
RIO PRETO;828604.77;10092.77;566042.37;1404739.91
RIO VERMELHO;1041145.69;12649.45;453845.96;1507641.1
RITAPOLIS;638067.06;7723.06;298498.82;944288.94
ROCHEDO DE MINAS;634638.81;7758.88;118236.65;760634.34
RODEIRO;2111836.4;25802;968144.95;3105783.35
ROMARIA;2115770.34;25801.9;256666.95;2398239.19
ROSARIO DA LIMEIRA;883647.37;10730.15;344452.5;1238830.02
RUBELITA;863560.95;10568.18;116359.5;990488.63
RUBIM;1011121;12281.78;276906.87;1300309.65
SABARA;15217137.78;185191.67;8976412.24;24378741.69
SABINOPOLIS;1462439.29;17797.64;722239.53;2202476.46
SACRAMENTO;15101958.4;182774.31;3449989.63;18734722.34
SALINAS;2896905.61;35218.38;2770849.89;5702973.88
SALTO DA DIVISA;1360630.34;16635.94;91352.85;1468619.13
SANTA BARBARA;7973651.05;97209.2;2780628.86;10851489.11
SANTA BARBARA DO LESTE;976960.47;11948.68;536371.55;1525280.7
SANTA BARBARA DO MONTE VERDE;742261.13;9032.22;181687.69;932981.04
SANTA BARBARA DO TUGURIO;723621.2;8840.67;308544.88;1041006.75
SANTA CRUZ DE MINAS;1098894.68;13388.48;482023.55;1594306.71
SANTA CRUZ DE SALINAS;651496.53;7957.57;101103.13;760557.23
SANTA CRUZ DO ESCALVADO;933361.69;11286.05;257392.74;1202040.48
SANTA EFIGENIA DE MINAS;721343.17;8799.13;218335.46;948477.76
SANTA FE DE MINAS;968992.55;11890.97;61744.92;1042628.44
SANTA HELENA DE MINAS;744738.46;9075.11;171367.85;925181.42
SANTA JULIANA;6778777.73;82569.52;2061234.76;8922582.01
SANTA LUZIA;22333290.51;271898.95;14062513.36;36667702.82
SANTA MARGARIDA;1375009.29;16806.73;1054860.07;2446676.09
SANTA MARIA DE ITABIRA;1317779.74;16071.51;696784.65;2030635.9
SANTA MARIA DO SALTO;591209.03;7128.11;95078.26;693415.4
SANTA MARIA DO SUACUI;1086757.48;13210.12;565452.74;1665420.34
SANTA RITA DE CALDAS;1739571.41;21171.39;1027094.18;2787836.98
SANTA RITA DE JACUTINGA;997757.79;12120.37;343129.84;1353008
SANTA RITA DE MINAS;933213.5;11396.7;380523.02;1325133.22
SANTA RITA DO IBITIPOCA;742925.9;8951.76;151123.63;903001.29
SANTA RITA DO ITUETO;920676.13;11231.21;383200;1315107.34
SANTA RITA DO SAPUCAI;7504715.08;91323.06;4528268.82;12124306.96
SANTA ROSA DA SERRA;936336.47;11300.12;277346.61;1224983.2
SANTA VITORIA;23183378.08;283328.04;2044982.24;25511688.36
SANTANA DA VARGEM;1699492.64;20673.23;603022.26;2323188.13
SANTANA DE CATAGUASES;750438.93;9148.7;224829.93;984417.56
SANTANA DE PIRAPAMA;1100829.91;13394.96;286846.44;1401071.31
SANTANA DO DESERTO;752912.67;9202.36;211837.8;973952.83
SANTANA DO GARAMBEU;642691.32;7821.61;117734.7;768247.63
SANTANA DO JACARE;1045794.01;12803.62;336815.11;1395412.74
SANTANA DO MANHUACU;1441343.17;17627.95;664714.53;2123685.65
SANTANA DO PARAISO;3319304.04;40466;1900135.24;5259905.28
SANTANA DO RIACHO;1099443.18;13381;280683.63;1393507.81
SANTANA DOS MONTES;708127.52;8662.78;148651.26;865441.56
SANTO ANTONIO DO AMPARO;1950466.28;23746.03;1134896.43;3109108.74
SANTO ANTONIO DO AVENTUREIRO;685196.24;8361.01;252328.16;945885.41
SANTO ANTONIO DO GRAMA;806118.04;9701.04;217394.1;1033213.18
SANTO ANTONIO DO ITAMBE;910528.66;11086.83;106001.38;1027616.87
SANTO ANTONIO DO JACINTO;856923.05;10424.12;398127.89;1265475.06
SANTO ANTONIO DO MONTE;2934447.72;35709.51;3655002.45;6625159.68
SANTO ANTONIO DO RETIRO;867618.66;10569.44;194329.17;1072517.27
SANTO ANTONIO DO RIO ABAIXO;458883.31;5599.82;63041.33;527524.46
SANTO HIPOLITO;564432.74;6916.17;84737.08;656085.99
SANTOS DUMONT;4670008.49;57109.8;3066889.5;7794007.79
SAO BENTO ABADE;917819.99;11193.74;240054.5;1169068.23
SAO BRAS DO SUACUI;744215.9;9073.18;360041.36;1113330.44
SAO DOMINGOS DAS DORES;927188.41;11322.72;389664.83;1328175.96
SAO DOMINGOS DO PRATA;1722916.13;20947.67;1210624.24;2954488.04
SAO FELIX DE MINAS;566075.18;6833.88;172411.04;745320.1
SAO FRANCISCO;3478732.54;42446.16;1662781.62;5183960.32
SAO FRANCISCO DE PAULA;1154129.46;14092.39;450359.23;1618581.08
SAO FRANCISCO DE SALES;2557723.21;31074.39;597864.55;3186662.15
SAO FRANCISCO DO GLORIA;809276.16;9856.42;330568.23;1149700.81
